,맥주,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,Kloud Original Gravity,4.3428571428571425,2.914285714285714,4.476190476190476,2.5904761904761906,8.82857142857143
0,Kloud Fitz Super Clear,3.769230769230769,2.3846153846153846,3.5,2.0384615384615383,7.384615384615385
0,Asahi Super Dry,3.9130221130221132,2.6506142506142507,4.344963144963145,2.464864864864865,8.610810810810811
0,Tsingtao,3.7473262032085564,2.415775401069519,4.098930481283422,2.339126559714795,7.996434937611408
0,Heineken,3.7806215722120657,2.6542504570383914,4.28473491773309,2.4277879341864717,8.461151736745887
0,Kirin Ichiban,4.1685303514377,2.7643769968051117,4.420926517571885,2.503993610223642,8.735623003194888
0,Sapporo Premium Beer / Draft Beer,4.08254468980021,2.6976866456361726,4.516298633017876,2.5278654048370135,8.983175604626709
0,Stella Artois,4.4686111111111115,2.977222222222222,5.036388888888889,2.756666666666667,10.176111111111112
0,Guinness Draught,6.244237198662678,4.422136195671301,6.601618863276438,3.497624494105226,13.85095900052789
0,Kronenbourg 1664 Blanc,5.596774193548387,3.184475806451613,5.414314516129032,2.8296370967741935,10.964717741935484
0,Pilsner Urquell,6.017073170731707,3.584390243902439,6.536585365853658,3.415121951219512,13.28829268292683
0,San Miguel,3.6391752577319587,2.5463917525773194,3.8247422680412373,2.2216494845360826,7.649484536082475
0,OB Premier Pilsner,4.379310344827586,2.7586206896551726,4.4655172413793105,2.5689655172413794,8.293103448275861
0,Cass Fresh,3.3917197452229297,2.337579617834395,3.417197452229299,2.0605095541401273,6.554140127388535
0,Eichbaum Apostel Bräu,4.608974358974359,2.83974358974359,4.743589743589744,2.5384615384615383,9.692307692307692
0,Egger Zwickl,5.2,3.2,5.4,3.0,10.3
0,Egger Märzenbier,4.912195121951219,2.848780487804878,5.058536585365854,2.629268292682927,9.751219512195123
0,Holsten Premium Bier,4.462068965517242,2.6735632183908047,4.751724137931035,2.5195402298850573,9.324137931034484
0,Bintang Pilsener,3.8083941605839415,2.5784671532846715,4.012773722627737,2.2828467153284673,7.775547445255475
0,Krombacher Weizen,6.1627565982404695,3.5762463343108504,6.148093841642229,3.1378299120234603,12.368035190615835
0,Miller Genuine Draft (MGD),2.8847443419949705,2.2854149203688183,3.3310980720871752,2.030176026823135,6.256496227996647
0,Hoegaarden Cherry,5.666666666666667,3.6666666666666665,5.333333333333333,4.0,10.5
0,Tiger Radler Lemon,4.090909090909091,2.4545454545454546,4.136363636363637,2.409090909090909,7.681818181818182
0,Suntory The Premium Malt's,4.956284153005464,2.9617486338797816,5.39344262295082,2.814207650273224,10.573770491803279
0,Reeper B. Blondes Weissbier,5.470588235294118,3.4705882352941178,5.0,2.6470588235294117,10.235294117647058
0,Bright Leaf Peeper Red IPA,7.333333333333333,3.8333333333333335,7.5,3.5,15.333333333333334
0,Tiger Beer,3.9223300970873787,2.5928041119360365,4.2609937178754995,2.385494003426613,8.41233580810965
1,Tsingtao Wheat Beer,5.685714285714286,3.0285714285714285,5.514285714285714,2.5714285714285716,11.0
1,Erdinger Weissbier,5.91965620328849,3.5642750373692076,6.205156950672646,3.241031390134529,12.679372197309418
0,Carlsberg Pilsner,4.061931818181818,2.6931818181818183,4.492613636363636,2.4926136363636364,8.942045454545454
0,Budweiser,2.6886663632225765,2.1256258534365045,3.052116522530724,1.8893946290395995,5.644742831133364
0,Sapporo Yebisu,4.630372492836676,2.848137535816619,4.994269340974212,2.653295128939828,9.87106017191977
0,Paulaner Hefe-Weissbier,6.911206896551724,3.8689655172413793,7.07816091954023,3.6022988505747127,14.536781609195403
0,Desperados,3.53325817361894,2.42728297632469,3.528748590755355,2.0473506200676437,6.467869222096956
0,Peroni Nastro Azzurro,3.987632508833922,2.5471142520612484,4.393404004711425,2.472909305064782,8.587750294464076
1,Edelweiss Weissbier Snowfresh,6.519886363636363,3.3295454545454546,6.482954545454546,3.2045454545454546,13.073863636363637
0,Heineken Dark Lager,4.930555555555555,3.1319444444444446,5.239583333333333,2.75,10.675347222222221
0,Kozel Černý (Dark) 10°,5.714545454545455,3.4736363636363636,5.875454545454545,3.0281818181818183,11.97
1,Guinness Original 4.2% (Ireland/UK),6.0844370860927155,3.781456953642384,6.309602649006623,3.198675496688742,12.831125827814569
0,FiLite,4.0,2.5555555555555554,4.555555555555555,2.7777777777777777,10.0
0,ARK Seoulite Ale,5.4,3.5,5.9,3.2,12.1
0,Jeju Wit Ale,5.76,3.2,6.0,3.12,12.24
0,Stephans Bräu Premium Pilsener,3.752808988764045,2.4831460674157304,4.056179775280899,2.235955056179775,7.696629213483146
1,Stephans Bräu Premium Lager,3.888888888888889,2.6222222222222222,4.0,2.1333333333333333,7.7555555555555555
0,Stephans Bräu Hefe-Weizen Naturtrüb Alkoholfrei,3.357142857142857,2.4642857142857144,3.4285714285714284,2.0714285714285716,6.571428571428571
0,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,6.955084045191513,3.849820887296776,7.133094516395701,3.594378616698815,14.649214659685864
0,Egger Grapefruit Radler,4.66,2.72,4.8,2.58,9.08
0,Bavaria Pilsener / Premium Beer,4.029126213592233,2.666019417475728,4.36504854368932,2.42621359223301,8.600970873786407
0,Bavaria 8.6 (Original),4.13550135501355,2.7398373983739837,4.289972899728998,2.4200542005420056,8.357723577235772
0,Lapin Kulta IV A,4.181578947368421,2.7026315789473685,4.407894736842105,2.431578947368421,8.494736842105263
0,Grolsch Premium Lager,4.611208406304729,3.0070052539404553,5.08231173380035,2.7583187390542907,10.291593695271454
0,Gambrinus Originál 10° (Desítka),4.7722095671981775,3.0455580865603644,4.972665148063781,2.703872437357631,9.840546697038725
0,Leffe Brune / Bruin / Brown,6.628142741281428,3.791970802919708,6.864963503649635,3.4902676399026764,14.075425790754258
0,Löwenbräu Original (4.2%),3.6666666666666665,2.111111111111111,3.814814814814815,2.037037037037037,7.555555555555555
0,Asahi Super Dry Black,4.875,3.308333333333333,5.15,2.7,10.55
0,Harbin Beer,3.694610778443114,2.4221556886227544,3.9011976047904193,2.2724550898203595,7.676646706586826
0,Beck's,4.2704582651391165,2.7127659574468086,4.70949263502455,2.550327332242226,9.330605564648117
0,Hoegaarden Rosée,5.170896785109983,2.976311336717428,4.822335025380711,2.5922165820642977,9.617597292724197
0,Platinum White Ale,7.0,4.0,9.0,5.0,16.0
0,Platinum Pale Ale,6.545454545454546,3.272727272727273,6.0,2.909090909090909,13.0
1,Brooklyn Special Effects (Hoppy Amber/Lager),5.8469945355191255,3.3224043715846996,5.590163934426229,2.7814207650273226,11.448087431693988
0,Schöfferhofer Grapefruit,5.832095096582466,3.0936106983655276,5.714710252600297,2.927191679049034,11.240713224368498
0,Volfas Engelman Grünberger Hefeweizen,6.411764705882353,3.235294117647059,6.176470588235294,3.0588235294117645,11.882352941176471
1,Berliner Kindl Jubiläums Pilsener Premium,4.956081081081081,2.9966216216216215,5.195945945945946,2.810810810810811,10.317567567567568
0,Red Rock,3.2,2.8666666666666667,3.6666666666666665,2.2666666666666666,6.4
1,Erdinger Weissbier Dunkel,6.021255561047949,3.707859614434009,6.29757785467128,3.245180425111221,12.982698961937716
0,Warsteiner Premium Verum,5.019512195121951,3.008943089430894,5.405691056910569,2.8979674796747967,10.898780487804878
0,Queen's Ale Blonde Type,6.375,3.375,5.875,3.25,11.5
